,Cycle,RecipID,TotalGiftAmt,TotalGiftAvg,TotalGiftCount,TotalGiftAvg.1,DonorCount,MultiCycleDonorCount,RepeatDonorCount,MaleDonorCount,FemaleDonorCount,CycleCands_x,FECCandID,CID_x,FirstLastP,Party,DistIDRunFor,DistIDCurr,CurrCand,CycleCand,CRPICO,RecipCodeCands,NoPacs,curr_cand,incumbent,challenger,open_office,nopacs,republican,democrat,other_party,cand_party,cand_status,run_for_state,run_for_district,presidential_year,label,CID_y,CycleCands_y,AmountRank,AmountRankSimple,10M_amt,1M_to_10M_amt,100K_to_1M_amt,10K_to_100K_amt,1K_to_10K_amt,100_to_1K_amt,10_to_100_amt,1_to_10_amt,0_to_1_amt,senate_seat,presidential_seat,house_seat
0,2010,N00000010,509944,1265.3697270471464,565,1.401985111662531,403,57,126,264,98,2010,H2IN06023,N00000010,Dan Burton (R),R,IN05,IN05,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,IN,05,0,1,N00000010,2010,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,1
1,2010,N00000036,5570090,788.5178369195924,12854,1.8196489241223104,7064,2205,3656,3960,2574,2010,S8WI00026,N00000036,Russ Feingold (D),D,WIS2,WIS2,Y,Y,I,DL, ,1,1,0,0,0,0,1,0,Democrat,Lose,WI,S2,0,0,N00000036,2010,0.7624686941161912,3.0,0,1,0,0,0,0,0,0,0,1,0,0
2,2010,N00000078,2058820,1371.6322451698868,2215,1.4756828780812792,1501,434,661,886,483,2010,H2NY14037,N00000078,Carolyn B Maloney (D),D,NY14,NY14,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,14,0,1,N00000078,2010,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1
3,2010,N00000133,91954,947.979381443299,142,1.4639175257731958,97,37,46,62,23,2010,H4VI00054,N00000133,Donna Christian-Christensen (D),D,VI00,VI00,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,VI,00,0,1,N00000133,2010,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1
4,2010,N00000143,383949,876.5958904109589,674,1.538812785388128,438,154,250,296,126,2010,H2MA01020,N00000143,John W Olver (D),D,MA01,MA01,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,MA,01,0,1,N00000143,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
5,2010,N00000153,634227,818.3574193548387,858,1.1070967741935485,775,286,311,644,130,2010,H8MA02041,N00000153,Richard E Neal (D),D,MA02,MA02,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,MA,02,0,1,N00000153,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
6,2010,N00000179,936115,878.981220657277,1542,1.447887323943662,1065,381,479,703,305,2010,H4MA03022,N00000179,James P McGovern (D),D,MA03,MA03,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,MA,03,0,1,N00000179,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
7,2010,N00000226,353225,699.4554455445544,743,1.4712871287128713,505,319,341,335,144,2010,H4MA06033,N00000226,John F Tierney (D),D,MA06,MA06,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,MA,06,0,1,N00000226,2010,0.596186499323177,3.0,0,0,1,0,0,0,0,0,0,0,0,1
8,2010,N00000267,2465981,965.9150019584804,3340,1.308264786525656,2553,518,835,1830,544,2010,H8MA08071,N00000267,Michael E Capuano (D),D,MA08,MA08,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,MA,08,0,1,N00000267,2010,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1
9,2010,N00000270,726222,1167.559485530547,825,1.3263665594855305,622,282,323,475,119,2010,H6MA07101,N00000270,Ed Markey (D),D,MA07,MA07,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,MA,07,0,1,N00000270,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
10,2010,N00000275,2295747,914.2759856630825,3267,1.3010752688172045,2511,396,747,1789,610,2010,H0MA04036,N00000275,Barney Frank (D),D,MA04,MA04,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,MA,04,0,1,N00000275,2010,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1
11,2010,N00000280,100,10.0,11,1.1,10,0,1,9,1,2010,H2MA11060,N00000280,Bill Delahunt (D),D,MA10,MA10, ,Y,I,DI, ,0,1,0,0,0,0,1,0,Democrat,Incumbent,MA,10,0,0,N00000280,2010,9.108994585613618e-05,3.0,0,0,0,0,0,1,0,0,0,0,0,1
12,2010,N00000326,1906,953.0,2,1.0,2,0,0,1,1,2010,H6RI02227,N00000326,John Matson (I),I,RI02,    ,Y,Y,C,3L, ,1,0,1,0,0,0,0,1,Other,Lose,RI,02,0,0,N00000326,2010,0.0034397005691928,3.0,0,0,0,0,1,0,0,0,0,0,0,1
13,2010,N00000360,342800,822.0623501199041,503,1.2062350119904075,417,0,49,295,102,2010,H4RI01034,N00000360,Patrick J Kennedy (D),D,RI01,RI01, ,Y,I,DI, ,0,1,0,0,0,0,1,0,Democrat,Incumbent,RI,01,0,0,N00000360,2010,0.2130522468994621,3.0,0,0,1,0,0,0,0,0,0,0,0,1
14,2010,N00000387,466793,976.5543933054394,673,1.4079497907949792,478,20,128,353,92,2010,S0NH00268,N00000387,Ovide Lamontagne (R),R,NHS1,    , ,Y,O,RL, ,0,0,0,1,0,1,0,0,Republican,Lose,NH,S1,0,0,N00000387,2010,0.1275032238204067,3.0,0,0,1,0,0,0,0,0,0,1,0,0
15,2010,N00000423,555422,1245.340807174888,603,1.352017937219731,446,220,249,351,80,2010,H0NH02017,N00000423,Charles Bass (R),R,NH02,    ,Y,Y,O,RW, ,1,0,0,1,0,1,0,0,Republican,Win,NH,02,0,1,N00000423,2010,0.3381171504561722,3.0,0,0,1,0,0,0,0,0,0,0,0,1
16,2010,N00000515,401228,857.3247863247864,587,1.2542735042735045,468,239,262,310,127,2010,H6VT00160,N00000515,Peter Welch (D),D,VT01,VT01,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,VT,01,0,1,N00000515,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
17,2010,N00000575,1115433,796.7378571428571,1833,1.3092857142857144,1400,501,597,1057,261,2010,H8CT01046,N00000575,John B Larson (D),D,CT01,CT01,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,CT,01,0,1,N00000575,2010,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1
18,2010,N00000581,2671600,1069.9239086904286,3974,1.5915098117741289,2497,1,711,1801,522,2010,S0CT00037,N00000581,Chris Dodd (D),D,CTS2,CTS2, ,Y,I,DI, ,0,1,0,0,0,0,1,0,Democrat,Incumbent,CT,S2,0,0,N00000581,2010,0.0503069484598948,3.0,0,1,0,0,0,0,0,0,0,1,0,0
19,2010,N00000615,517811,1050.3265720081135,759,1.539553752535497,493,257,295,307,181,2010,H0CT03072,N00000615,Rosa L DeLauro (D),D,CT03,CT03,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,CT,03,0,1,N00000615,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
20,2010,N00000634,79194,1319.9,70,1.1666666666666667,60,1,9,47,12,2010,H0CT03106,N00000634,Jerry Labriola (R),R,CT03,    ,Y,Y,C,RL, ,1,0,1,0,0,1,0,0,Republican,Lose,CT,03,0,0,N00000634,2010,0.1529399723064979,3.0,0,0,0,1,0,0,0,0,0,0,0,1
21,2010,N00000684,512575,1074.58071278826,796,1.6687631027253669,477,295,334,342,110,2010,H2NJ05014,N00000684,Rodney Frelinghuysen (R),R,NJ11,NJ11,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,NJ,11,0,1,N00000684,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
22,2010,N00000716,254319,756.9017857142857,428,1.2738095238095235,336,70,110,207,73,2010,H0NJ10026,N00000716,Donald M Payne (D),D,NJ10,NJ10,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NJ,10,0,1,N00000716,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
23,2010,N00000743,829288,1168.0112676056335,975,1.3732394366197185,710,311,360,567,116,2010,H8NJ05052,N00000743,Scott Garrett (R),R,NJ05,NJ05,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,NJ,05,0,1,N00000743,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
24,2010,N00000751,714301,1182.617549668874,1098,1.8178807947019868,604,366,410,457,78,2010,H6NJ08118,N00000751,Bill Pascrell Jr (D),D,NJ08,NJ08,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NJ,08,0,1,N00000751,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
25,2010,N00000781,986584,1056.2997858672377,1334,1.4282655246252676,934,371,444,592,193,2010,H8NJ03073,N00000781,Frank Pallone Jr (D),D,NJ06,NJ06,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NJ,06,0,1,N00000781,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
26,2010,N00000812,1682952,1100.6880313930674,2461,1.6095487246566382,1529,0,556,1162,254,2010,H8NJ03156,N00000812,John H Adler (D),D,NJ03,NJ03,Y,Y,I,DL, ,1,1,0,0,0,0,1,0,Democrat,Lose,NJ,03,0,0,N00000812,2010,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1
27,2010,N00000826,813995,825.552738336714,1167,1.1835699797160244,986,347,414,720,168,2010,H0NJ01066,N00000826,Robert E Andrews (D),D,NJ01,NJ01,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NJ,01,0,1,N00000826,2010,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,1
28,2010,N00000826,813995,825.552738336714,1167,1.1835699797160244,986,347,414,720,168,2010,S8NJ00392,N00000826,Robert E Andrews (D),D,NJ01,NJ01, ,Y,I,DW, ,0,1,0,0,0,0,1,0,Democrat,Win,NJ,01,0,1,N00000826,2010,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,1
29,2010,N00000851,527502,821.6542056074767,840,1.308411214953271,642,267,312,481,111,2010,H2NJ02037,N00000851,Frank A LoBiondo (R),R,NJ02,NJ02,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,NJ,02,0,1,N00000851,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
30,2010,N00000860,1525259,1057.738557558946,2346,1.6269070735090152,1442,785,888,781,524,2010,H6NJ12144,N00000860,Rush Holt (D),D,NJ12,NJ12,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NJ,12,0,1,N00000860,2010,0.9707753937178266,2.0,0,1,0,0,0,0,0,0,0,0,0,1
31,2010,N00000898,565704,1017.453237410072,778,1.3992805755395683,556,250,286,414,115,2010,H6NJ12136,N00000898,Leonard Lance (R),R,NJ07,NJ07,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,NJ,07,0,1,N00000898,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
32,2010,N00000939,821724,1429.0852173913042,776,1.3495652173913044,575,276,325,417,113,2010,H2NY17071,N00000939,Jerrold Nadler (D),D,NY08,NY08,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,08,0,1,N00000939,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
