,CID,CycleCands,AmountRank,AmountRankSimple
0,N00000010,2010,1.0,2.0
1,N00012546,2010,0.9588405785733335,2.0
2,N00030704,2010,0.5510801186012582,3.0
3,N00013807,2010,0.3213333228746686,3.0
4,N00029024,2010,0.31523265299719183,3.0
5,N00031324,2010,0.15783693895800324,3.0
6,N00031742,2010,0.07049793702837959,3.0
7,N00030669,2010,0.05694939052131214,3.0
8,N00032460,2010,0.010938455987324099,3.0
9,N00031701,2010,0.008018527524590936,3.0
10,N00032546,2010,1.0,1.0
11,N00000036,2010,0.7624686941161912,3.0
12,N00031296,2010,0.19716916511437668,3.0
13,N00032545,2010,0.010831945306827776,3.0
14,N00030902,2010,0.008087649904124875,3.0
15,N00030766,2010,0.0003507025549543512,3.0
16,N00000078,2010,1.0,1.0
17,N00031334,2010,0.6176955731924112,3.0
18,N00032344,2010,0.08611291905071837,3.0
19,N00031636,2010,0.0227460389932097,3.0
20,N00032603,2010,0.0035700061200104913,3.0
21,N00032602,2010,0.0004614293624503356,3.0
22,N00000133,2010,1.0,1.0
23,N00032884,2010,0.014137503534375883,3.0
24,N00000143,2010,1.0,1.0
25,N00032464,2010,0.06484454966675261,3.0
26,N00031746,2010,0.0039067688677402465,3.0
27,N00000153,2010,1.0,1.0
28,N00031050,2010,0.12809609177786502,3.0
29,N00030792,2010,0.06881132465189908,3.0
30,N00000179,2010,1.0,1.0
31,N00031931,2010,0.0737783285173296,3.0
32,N00031930,2010,0.054937694620853204,3.0
33,N00031505,2010,0.002964379376465498,3.0
34,N00032670,2010,0.0009763757657980056,3.0
35,N00032465,2010,0.00021364896406958546,3.0
36,N00030935,2010,1.0,1.0
37,N00000226,2010,0.596186499323177,3.0
38,N00030934,2010,0.04219594446338573,3.0
39,N00031932,2010,0.0016878377785354295,3.0
40,N00000267,2010,1.0,1.0
41,N00000270,2010,1.0,1.0
42,N00031507,2010,0.00998317318946548,3.0
43,N00000275,2010,1.0,1.0
44,N00031747,2010,0.4952723449056015,3.0
45,N00030344,2010,0.00666406185002093,3.0
46,N00031506,2010,0.005836880109175793,3.0
47,N00030793,2010,0.00017641316747882063,3.0
48,N00031933,2010,1.0,1.0
49,N00031750,2010,0.6120233263133349,3.0
50,N00032079,2010,0.33411974319922466,3.0
51,N00032270,2010,0.22850823817470323,3.0
52,N00032888,2010,0.051739089246285355,3.0
53,N00022854,2010,0.03684588309880708,3.0
54,N00032585,2010,0.015915235339984114,3.0
55,N00031749,2010,0.006968380857994418,3.0
56,N00000280,2010,9.108994585613618e-05,3.0
57,N00009724,2010,1.0,1.0
58,N00029887,2010,0.10515810711797847,3.0
59,N00031065,2010,0.08799028365799343,3.0
60,N00032390,2010,0.06460717753258331,3.0
61,N00000326,2010,0.0034397005691928434,3.0
62,N00031535,2010,0.002640231863971212,3.0
63,N00032019,2010,1.0,1.0
64,N00000360,2010,0.2130522468994621,3.0
65,N00030750,2010,0.1749800341206778,3.0
66,N00032093,2010,0.1405380377191974,3.0
67,N00032608,2010,0.10954602096339641,3.0
68,N00032640,2010,0.09828868330852489,3.0
69,N00025733,2010,0.00043505417978303225,3.0
70,N00030980,2010,1.0,2.0
71,N00027048,2010,0.9805052076888765,2.0
72,N00031351,2010,0.2575964298561962,3.0
73,N00000387,2010,0.12750322382040677,3.0
74,N00031287,2010,0.11212776517203224,3.0
75,N00030875,2010,1.0,1.0
76,N00000423,2010,0.33811715045617224,3.0
77,N00025450,2010,0.2515403079459253,3.0
78,N00029870,2010,0.08945078532724657,3.0
79,N00031240,2010,0.02067948262941722,3.0
80,N00031120,2010,0.009709677596090805,3.0
81,N00032599,2010,0.006300637186178046,3.0
82,N00030874,2010,0.004912670733570708,3.0
83,N00032598,2010,0.0023394539813026308,3.0
84,N00030748,2010,0.00013757913082862206,3.0
85,N00000515,2010,1.0,1.0
86,N00032641,2010,0.09326866519784262,3.0
87,N00032528,2010,0.032335729311015186,3.0
88,N00027439,2010,0.024923484901352846,3.0
89,N00000575,2010,1.0,1.0
90,N00032225,2010,0.049353031513322626,3.0
91,N00032224,2010,0.013223564301934764,3.0
92,N00032890,2010,0.004123959036535588,3.0
