,CycleCands,FECCandID,CID,FirstLastP,Party,DistIDRunFor,DistIDCurr,CurrCand,CycleCand,CRPICO,RecipCodeCands,NoPacs,CycleIndivs,RecipID,Amount,Female,Male,incumbent,label,AmountRank,AmountRankSimple
0,2010,S0AK00121,N00032555,Joe Miller (R),R,AKS2,    ,Y,Y,C,RL, ,2010.0,N00032555,1726920.0,633.0,2242.0,0,0,0.933644382330759,3
1,2010,S0AK00139,N00032734,Scott McAdams (D),D,AKS2,    ,Y,Y,C,DL, ,2010.0,N00032734,739579.0,573.0,953.0,0,0,0.3998469984943138,3
2,2010,S0AL00164,N00032120,William Barnes (D),D,ALS2,    ,Y,Y,C,DL, ,2010.0,N00032120,1200.0,2.0,1.0,0,0,0.00040345207039835175,3
3,2010,S0AR00135,N00031564,Trevor Drown (I),I,ARS2,    ,Y,Y,C,3L, ,2010.0,N00031564,21525.0,5.0,13.0,0,0,0.003689097119830615,3
4,2010,S0AR00150,N00013873,John Boozman (R),R,ARS2,AR03,Y,Y,C,RW, ,2010.0,N00013873,2367768.0,622.0,2082.0,0,1,0.4058037681406316,3
5,2010,S0AR00184,N00032885,John Gray (3),3,ARS2,    ,Y,Y,C,3L, ,2010.0,N00032885,750.0,0.0,2.0,0,0,0.0001285399693320772,3
6,2010,S0AZ00244,N00031684,Ian Gilyeat (I),I,AZS1,    ,Y,Y,C,3L, ,2010.0,N00031684,22684.0,2.0,9.0,0,0,0.005615228150205125,3
7,2010,S0AZ00269,N00032123,Rodney Glassman (D),D,AZS1,    ,Y,Y,C,DL, ,2010.0,N00032123,646511.0,205.0,391.0,0,0,0.16003821048392108,3
8,2010,S0AZ00285,N00032125,Jerry Joslyn (3),3,AZS1,    ,Y,Y,C,3L, ,2010.0,N00032125,6900.0,0.0,2.0,0,0,0.0017080353657386424,3
9,2010,S0AZ00301,N00028690,David F Nolan (L),L,AZS1,    ,Y,Y,C,3L, ,2010.0,N00028690,1210.0,0.0,2.0,0,0,0.00029952504239764597,3
10,2010,S0CA00330,N00031348,Carly Fiorina (R),R,CAS1,    ,Y,Y,C,RL, ,2010.0,N00031348,16994947.0,3346.0,9037.0,0,0,1.0,1
11,2010,S0CO00211,N00030608,Michael F Bennet (D),D,COS1,COS1,Y,Y,I,DW, ,2010.0,N00030608,10438959.0,3741.0,6856.0,1,1,1.0,1
12,2010,S0CO00237,N00030829,Ken Buck (R),R,COS1,    ,Y,Y,C,RL, ,2010.0,N00030829,3386806.0,963.0,3348.0,0,0,0.3244390556567949,3
13,2010,S0CO00344,N00032735,Jason Andrew Napolitano (I),I,COS1,    ,Y,Y,C,3L, ,2010.0,N00032735,17092.0,6.0,10.0,0,0,0.0016373280132626251,3
14,2010,S0CT00144,N00030889,Vincent Forras (I),I,CTS2,    ,Y,Y,O,3L, ,2010.0,N00030889,7300.0,0.0,6.0,0,0,0.00013746096861702063,3
15,2010,S0CT00151,N00031165,Linda McMahon (R),R,CTS2,    ,Y,Y,O,RL, ,2010.0,N00031165,53105984.0,148.0,9.0,0,0,1.0,1
16,2010,S0CT00177,N00031685,Richard Blumenthal (D),D,CTS2,    ,Y,Y,O,DW, ,2010.0,N00031685,4886993.0,1455.0,3227.0,0,1,0.09202339608282185,3
17,2010,S0CT00193,N00027391,Warren Mosler (3),3,CTS2,    ,Y,Y,O,3L, ,2010.0,N00027391,55542.0,5.0,36.0,0,0,0.0010458708382091177,3
18,2010,S0CT00219,N00032850,Brian Keith Hill (I),I,CTS2,    ,Y,Y,O,3L, ,2010.0,N00032850,5010.0,1.0,1.0,0,0,9.4339651064558e-05,3
19,2010,S0DE00092,N00031820,Chris Coons (D),D,DES2,    ,Y,Y,O,DW, ,2010.0,N00031820,3289117.0,1554.0,2712.0,0,1,1.0,1
20,2010,S0FL00312,N00025692,Kendrick B Meek (D),D,FLS2,FL17,Y,Y,O,DL, ,2010.0,N00025692,5913751.0,1925.0,4229.0,0,0,0.48701002126661536,3
21,2010,S0FL00338,N00030612,Marco Rubio (R),R,FLS2,    ,Y,Y,O,RW, ,2010.0,N00030612,12142976.0,4318.0,12756.0,0,1,1.0,2
22,2010,S0FL00395,N00030973,Alexander Andrew Snitker (L),L,FLS2,    ,Y,Y,O,3L, ,2010.0,N00030973,10418.0,4.0,19.0,0,0,0.0008579445434134103,3
23,2010,S0FL00429,N00031350,Bernard F Decastro (3),3,FLS2,    ,Y,Y,O,3L, ,2010.0,N00031350,17000.0,3.0,21.0,0,0,0.0013999862966047204,3
24,2010,S0FL00437,N00031438,Bobbie Bean (I),I,FLS2,    ,Y,Y,O,3L, ,2010.0,N00031438,3058.0,0.0,1.0,0,0,0.00025183282911866084,3
25,2010,S0GA00310,N00010559,Mike Thurmond (D),D,GAS2,    ,Y,Y,C,DL, ,2010.0,N00010559,279034.0,107.0,204.0,0,0,0.0843318182656177,3
26,2010,S0GA00328,N00032818,Chuck Donovan (L),L,GAS2,    ,Y,Y,C,3L, ,2010.0,N00032818,7250.0,2.0,4.0,0,0,0.002191151194570297,3
27,2010,S0IA00028,N00001758,Chuck Grassley (R),R,IAS1,IAS1,Y,Y,I,RW, ,2010.0,N00001758,2125070.0,622.0,1991.0,1,1,0.9777962440977561,2
28,2010,S0IA00127,N00031439,Roxanne Conlin (D),D,IAS1,    ,Y,Y,C,DL,Y,2010.0,N00031439,2173326.0,754.0,1149.0,0,0,1.0,2
29,2010,S0ID00107,N00032133,P Tom Sullivan (D),D,IDS2,    ,Y,Y,C,DL, ,2010.0,N00032133,58803.0,29.0,58.0,0,0,0.058712758490200564,3
30,2010,S0IL00204,N00030613,Alexander Giannoulias (D),D,ILS2,    ,Y,Y,O,DL, ,2010.0,N00030613,8171871.0,2092.0,4773.0,0,0,0.7866818588896501,3
31,2010,S0IL00261,N00012539,Mark Kirk (R),R,ILS2,IL10,Y,Y,O,RW, ,2010.0,N00012539,10387771.0,1991.0,7259.0,0,1,1.0,1
32,2010,S0IN00053,N00003845,Dan Coats (R),R,INS2,    ,Y,Y,O,RW, ,2010.0,N00003845,1740078.0,340.0,1207.0,0,1,1.0,1
33,2010,S0IN00152,N00027575,Brad Ellsworth (D),D,INS2,IN08,Y,Y,O,DL, ,2010.0,N00027575,1019597.0,335.0,1077.0,0,0,0.5859490206760847,3
34,2010,S0IN00186,N00032819,Jack Edward Rooney (I),I,INS2,    ,Y,Y,O,3L, ,2010.0,N00032819,12600.0,0.0,2.0,0,0,0.007241054711340526,3
35,2010,S0KS00091,N00005282,Jerry Moran (R),R,KSS2,KS01,Y,Y,O,RW, ,2010.0,N00005282,2184108.0,854.0,2653.0,0,1,1.0,1
36,2010,S0KS00141,N00032539,Lisa Johnston (D),D,KSS2,    ,Y,Y,O,DL, ,2010.0,N00032539,13000.0,13.0,16.0,0,0,0.005952086618427294,3
37,2010,S0KY00123,N00013856,Jack Conway (D),D,KYS2,    ,Y,Y,O,DL, ,2010.0,N00013856,4996698.0,1744.0,4199.0,0,0,1.0,1
38,2010,S0KY00156,N00030836,Rand Paul (R),R,KYS2,    ,Y,Y,O,RW, ,2010.0,N00030836,4167452.0,1188.0,5238.0,0,1,0.8340412008090142,3
39,2010,S0LA00154,N00026840,Charles Melancon (D),D,LAS2,LA03,Y,Y,C,DL, ,2010.0,N00026840,2310204.0,583.0,1777.0,0,0,0.5075911127985377,3
40,2010,S0LA00170,N00031442,Bob Lang (I),I,LAS2,    ,Y,Y,C,3L, ,2010.0,N00031442,24159.0,3.0,45.0,0,0,0.005308143217698469,3
41,2010,S0LA00196,N00032140,Michael Lane Spears (I),I,LAS2,    ,Y,Y,C,3L, ,2010.0,N00032140,105937.0,3.0,62.0,0,0,0.023276160770450874,3
42,2010,S0LA00279,N00032823,Ernest D Wooton (I),I,LAS2,    ,Y,Y,C,3L, ,2010.0,N00032823,2000.0,0.0,2.0,0,0,0.0004394340177737877,3
43,2010,S0MD00259,N00030979,Eric Wargotz (R),R,MDS2,    ,Y,Y,C,RL, ,2010.0,N00030979,421296.0,45.0,176.0,0,0,0.2038328487035953,3
44,2010,S0MO00183,N00005195,Roy Blunt (R),R,MOS1,MO07,Y,Y,O,RW, ,2010.0,N00005195,7740324.0,1777.0,5669.0,0,1,1.0,2
45,2010,S0NC00160,N00031285,Michael Beitler (L),L,NCS2,    ,Y,Y,C,3L, ,2010.0,N00031285,17061.0,0.0,61.0,0,0,0.0031528677957682345,3
46,2010,S0ND00093,N00031688,John Hoeven (R),R,NDS1,    ,Y,Y,O,RW, ,2010.0,N00031688,2081226.0,489.0,1608.0,0,1,1.0,1
47,2010,S0ND00101,N00032044,Tracy Potter (D),D,NDS1,    ,Y,Y,O,DL, ,2010.0,N00032044,40990.0,18.0,59.0,0,0,0.01969512200981537,3
48,2010,S0NH00227,N00027048,Paul W Hodes (D),D,NHS1,NH02,Y,Y,O,DL, ,2010.0,N00027048,3602558.0,1356.0,3136.0,0,0,0.9840288072014726,2
49,2010,S0NH00235,N00030980,Kelly Ayotte (R),R,NHS1,    ,Y,Y,O,RW, ,2010.0,N00030980,3661029.0,815.0,2713.0,0,1,1.0,2
50,2010,S0NV00138,N00027581,Sharron Angle (R),R,NVS2,    ,Y,Y,C,RL, ,2010.0,N00027581,10373507.0,3731.0,15604.0,0,0,0.7598986372745139,3
51,2010,S0NV00351,N00032051,Jesse Holland (I),I,NVS2,    ,Y,Y,C,3L, ,2010.0,N00032051,3229.0,0.0,60.0,0,0,0.00023653646734507483,3
52,2010,S0NY00287,N00001025,Joseph J Dioguardi (R),R,NYS1,    ,Y,Y,C,RL, ,2010.0,N00001025,1607236.0,114.0,550.0,0,0,0.15988928173895794,3
53,2010,S0NY00410,N00027658,Kirsten Gillibrand (D),D,NYS1,NYS1,Y,Y,I,DW, ,2010.0,N00027658,10052181.0,3648.0,5503.0,1,1,1.0,1
54,2010,S0NY00444,N00031448,Randolph A Credico (3),3,NYS2,    ,Y,Y,C,3L, ,2010.0,N00031448,29250.0,14.0,19.0,0,0,0.0021824112279051383,3
55,2010,S0NY00550,N00032541,Jay Townsend (R),R,NYS2,    ,Y,Y,C,RL, ,2010.0,N00032541,87524.0,30.0,105.0,0,0,0.006530371292689549,3
56,2010,S0NY00626,N00032901,Colia L Clark (3),3,NYS2,    ,Y,Y,C,3L, ,2010.0,N00032901,250.0,1.0,0.0,0,0,1.8653087417992633e-05,3
57,2010,S0OH00133,N00003682,Rob Portman (R),R,OHS2,    ,Y,Y,O,RW, ,2010.0,N00003682,10999513.0,2160.0,7398.0,0,1,1.0,1
58,2010,S0OH00158,N00030616,Lee Irwin Fisher (D),D,OHS2,    ,Y,Y,O,DL, ,2010.0,N00030616,5396044.0,1649.0,3889.0,0,0,0.4905711734692254,3
59,2010,S0OH00190,N00030983,Eric William Deaton (3),3,OHS2,    ,Y,Y,O,3L, ,2010.0,N00030983,250.0,1.0,0.0,0,0,2.2728278970168953e-05,3
60,2010,S0OH00208,N00030984,Adam D Shaffer (I),I,OHS2,    ,Y,Y,O,3L, ,2010.0,N00030984,415.0,0.0,3.0,0,0,3.772894309048046e-05,3
61,2010,S0OH00224,N00031691,David Lee Myers (I),I,OHS2,    ,Y,Y,O,3L, ,2010.0,N00031691,31844.0,0.0,7.0,0,0,0.0028950372621042403,3
62,2010,S0OH00257,N00032159,Daniel H Labotz (3),3,OHS2,    ,Y,Y,O,3L, ,2010.0,N00032159,5200.0,6.0,9.0,0,0,0.0004727482025795142,3
63,2010,S0OH00265,N00032836,Michael Pryce (I),I,OHS2,    ,Y,Y,O,3L, ,2010.0,N00032836,4650.0,0.0,3.0,0,0,0.0004227459888451425,3
64,2010,S0OR00196,N00031826,Marc Delphine (L),L,ORS2,    ,Y,Y,C,3L, ,2010.0,N00031826,2900.0,0.0,8.0,0,0,0.0007522044128460951,3
65,2010,S0OR00204,N00031827,Richard Staggenborg (3),3,ORS2,    ,Y,Y,C,3L, ,2010.0,N00031827,6100.0,0.0,2.0,0,0,0.0015822230752969586,3
66,2010,S0OR00220,N00032062,Jim Huffman (R),R,ORS2,    ,Y,Y,C,RL, ,2010.0,N00032062,577924.0,206.0,483.0,0,0,0.14990240796195403,3
67,2010,S0OR00303,N00032998,Bruce Cronk (3),3,ORS2,    ,Y,Y,C,3L, ,2010.0,N00032998,1000.0,1.0,0.0,0,0,0.00025938083201589485,3
68,2010,S0PA00426,N00030897,Michael Stephen Yilit (3),3,PAS1,    ,Y,Y,O,3L, ,2010.0,N00030897,938.0,1.0,1.0,0,0,8.477487525756694e-05,3
69,2010,S0PA00434,N00028049,Joe Sestak (D),D,PAS1,PA07,Y,Y,O,DL, ,2010.0,N00028049,10291097.0,4208.0,8855.0,0,0,0.9300921795719845,3
70,2010,S0SC00214,N00032747,Tom Clements (3),3,SCS1,    ,Y,Y,C,3L, ,2010.0,N00032747,34936.0,27.0,19.0,0,0,0.018514014021175376,3
71,2010,S0UT00140,N00030901,Samuel Frank Granato (D),D,UTS2,    ,Y,Y,O,DL, ,2010.0,N00030901,191084.0,82.0,174.0,0,0,0.1784719245106088,3
72,2010,S0UT00165,N00031696,Mike Lee (R),R,UTS2,    ,Y,Y,O,RW, ,2010.0,N00031696,1070667.0,210.0,723.0,0,1,1.0,1
73,2010,S0VT00114,N00031570,Len Britton (R),R,VTS2,    ,Y,Y,C,RL, ,2010.0,N00031570,91271.0,40.0,114.0,0,0,0.046034713031408374,3
74,2010,S0WA00357,N00032631,Dino Rossi (R),R,WAS2,    ,Y,Y,C,RL, ,2010.0,N00032631,5978864.0,2093.0,5606.0,0,0,0.8385664633387766,3
75,2010,S0WI00155,N00030766,Robert Allen Taylor (3),3,WIS2,    ,Y,Y,C,3L, ,2010.0,N00030766,2562.0,1.0,2.0,0,0,0.0003507025549543512,3
76,2010,S0WI00197,N00032546,Ron Johnson (R),R,WIS2,    ,Y,Y,C,RW, ,2010.0,N00032546,7305336.0,1181.0,4407.0,0,1,1.0,1
77,2010,S0WV00090,N00032838,Joe Manchin (D),D,WVS1,    ,Y,Y,O,DW, ,2010.0,N00032838,3257946.0,629.0,1983.0,0,1,0.22948624517792662,3
78,2010,S2CA00286,N00006692,Barbara Boxer (D),D,CAS1,CAS1,Y,Y,I,DW, ,2010.0,N00006692,12717431.0,9579.0,8764.0,1,1,0.7483065996028113,3
79,2010,S2NC00075,N00024808,Elaine Marshall (D),D,NCS2,    ,Y,Y,C,DL, ,2010.0,N00024808,1740585.0,1190.0,1612.0,0,0,0.3216595974618869,3
80,2010,S2SD00068,N00004572,John Thune (R),R,SDS1,SDS1,Y,Y,I,RW, ,2010.0,N00004572,2943243.0,1078.0,3034.0,1,1,1.0,1
81,2010,S2WA00189,N00007876,Patty Murray (D),D,WAS2,WAS2,Y,Y,I,DW, ,2010.0,N00007876,7129863.0,4780.0,5652.0,1,1,1.0,1
82,2010,S4AK00099,N00026050,Lisa Murkowski (I),I,AKS2,AKS2,Y,Y,I,3W, ,2010.0,N00026050,1849655.0,787.0,1908.0,1,1,1.0,1
83,2010,S4HI00011,N00001762,Daniel K Inouye (D),D,HIS1,HIS1,Y,Y,I,DW, ,2010.0,N00001762,2447506.0,554.0,1690.0,1,1,1.0,1
84,2010,S4HI00102,N00027227,Cam Cavasso (R),R,HIS1,    ,Y,Y,C,RL, ,2010.0,N00027227,95449.0,22.0,73.0,0,0,0.038998474365333526,3
85,2010,S4LA00057,N00009659,David Vitter (R),R,LAS2,LAS2,Y,Y,I,RW, ,2010.0,N00009659,4551309.0,835.0,4162.0,1,1,1.0,1
86,2010,S4NC00089,N00002221,Richard Burr (R),R,NCS2,NCS2,Y,Y,I,RW, ,2010.0,N00002221,5411264.0,1615.0,5048.0,1,1,1.0,1
87,2010,S4PA00121,N00001489,Pat Toomey (R),R,PAS1,    ,Y,Y,O,RW, ,2010.0,N00001489,11064599.0,2876.0,11328.0,0,1,1.0,1
88,2010,S4SC00083,N00002472,James W DeMint (R),R,SCS1,SCS1,Y,Y,I,RW, ,2010.0,N00002472,1887003.0,445.0,1755.0,1,1,1.0,1
89,2010,S4VT00017,N00009918,Patrick Leahy (D),D,VTS2,VTS2,Y,Y,I,DW, ,2010.0,N00009918,1982656.0,642.0,1552.0,1,1,1.0,1
90,2010,S4WV00084,N00002213,John R Raese (R),R,WVS1,    ,Y,Y,O,RL, ,2010.0,N00002213,14196694.0,242.0,803.0,0,0,1.0,1
91,2010,S6AL00013,N00009920,Richard C Shelby (R),R,ALS2,ALS2,Y,Y,I,RW, ,2010.0,N00009920,2974331.0,355.0,1755.0,1,1,1.0,1
92,2010,S6AZ00019,N00006424,John McCain (R),R,AZS1,AZS1,Y,Y,I,RW, ,2010.0,N00006424,4039729.0,3197.0,7072.0,1,1,1.0,1
93,2010,S6DE00131,N00028769,Christine O'Donnell (R),R,DES2,    ,Y,Y,O,RL, ,2010.0,N00028769,2118077.0,733.0,3560.0,0,0,0.6439652344383006,3
94,2010,S6FL00160,N00002942,Charlie Crist (I),I,FLS2,    ,Y,Y,O,3L, ,2010.0,N00002942,12037308.0,2243.0,6042.0,0,0,0.9912980145888455,2
95,2010,S6GA00119,N00002593,Johnny Isakson (R),R,GAS2,GAS2,Y,Y,I,RW, ,2010.0,N00002593,3308763.0,929.0,3448.0,1,1,1.0,1
96,2010,S6MD00140,N00001945,Barbara A Mikulski (D),D,MDS2,MDS2,Y,Y,I,DW, ,2010.0,N00001945,2066870.0,821.0,1376.0,1,1,1.0,1
97,2010,S6MO00297,N00027616,Robin Carnahan (D),D,MOS1,    ,Y,Y,O,DL, ,2010.0,N00027616,7446072.0,5047.0,5409.0,0,0,0.9619845370813935,2
98,2010,S6NV00028,N00009922,Harry Reid (D),D,NVS2,NVS2,Y,Y,I,DW, ,2010.0,N00009922,13651172.0,2919.0,7753.0,1,1,1.0,1
99,2010,S6OR00110,N00007724,Ron Wyden (D),D,ORS2,ORS2,Y,Y,I,DW, ,2010.0,N00007724,3855335.0,712.0,2405.0,1,1,1.0,1
100,2010,S6WV00139,N00028630,Jesse Johnson (3),3,WVS1,    ,Y,Y,O,3L, ,2010.0,N00028630,4050.0,2.0,5.0,0,0,0.0002852776850723133,3
101,2010,S8AR00112,N00008092,Blanche Lincoln (D),D,ARS2,ARS2,Y,Y,I,DL, ,2010.0,N00008092,5834761.0,1503.0,4416.0,1,0,1.0,1
102,2010,S8ID00027,N00006267,Mike Crapo (R),R,IDS2,IDS2,Y,Y,I,RW, ,2010.0,N00006267,1001537.0,287.0,1014.0,1,1,1.0,1
103,2010,S8IN00080,N00003884,Rebecca Sink-Burris (L),L,INS2,    ,Y,Y,O,3L, ,2010.0,N00003884,5150.0,1.0,5.0,0,0,0.002959637441539977,3
104,2010,S8NY00082,N00001093,Charles E Schumer (D),D,NYS2,NYS2,Y,Y,I,DW, ,2010.0,N00001093,13402607.0,1910.0,6297.0,1,1,1.0,1
105,2010,S8WI00026,N00000036,Russ Feingold (D),D,WIS2,WIS2,Y,Y,I,DL, ,2010.0,N00000036,5572540.0,4662.0,7264.0,1,0,0.7628040654119126,3
