experiment_name,model_name,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,hyperparameters
Logistic Regression senate seats,models-currcand/senate-tuned-lr.pkl,0.8854961832061069,0.8383838383838383,0.7865853658536586,0.7631578947368421,0.9280575539568345,0.8055555555555556,0.8514851485148515,0.7837837837837838,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1'}"
Logistic Regression house seats,models-currcand/house-tuned-lr.pkl,0.9069908814589666,0.9198055893074119,0.9039812646370023,0.9065420560747663,0.9157769869513642,0.9371980676328503,0.9098408956982911,0.9216152019002376,"{'C': 0.1, 'class_weight': None, 'penalty': 'l1'}"
Logistic Regression presidential seats,models-currcand/presidential-tuned-lr.pkl,0.9470588235294117,0.8837209302325582,0.9390243902439024,0.8823529411764706,0.9506172839506173,0.8333333333333334,0.9447852760736196,0.8571428571428571,"{'C': 1, 'class_weight': None, 'penalty': 'l1'}"
Logistic Regression all seats,models-currcand/all-tuned-lr.pkl,0.9076482830385015,0.8835758835758836,0.8976458546571137,0.8673684210526316,0.9188056574122577,0.8937093275488069,0.908102511001812,0.8803418803418804,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1'}"
PCA + LR senate seats,models-currcand/senate-pca-lr.pkl,0.8982188295165394,0.8181818181818182,0.8613138686131386,0.78125,0.8489208633093526,0.6944444444444444,0.8550724637681159,0.7352941176470588,"{'logisticregression__C': 0.01, 'logisticregression__penalty': 'l2', 'pca__n_components': 60}"
PCA + LR house seats,models-currcand/house-pca-lr.pkl,0.8984802431610942,0.8894289185905225,0.8862857142857142,0.8836104513064132,0.9199288256227758,0.8985507246376812,0.9027939464493597,0.8910179640718564,"{'logisticregression__C': 0.1, 'logisticregression__penalty': 'l2', 'pca__n_components': 9}"
PCA + LR presidential seats,models-currcand/presidential-pca-lr.pkl,0.8764705882352941,0.9069767441860465,0.8333333333333334,0.8181818181818182,0.9259259259259259,1.0,0.8771929824561403,0.9,"{'logisticregression__C': 0.01, 'logisticregression__penalty': 'l2', 'pca__n_components': 6}"
PCA + LR all seats,models-currcand/all-pca-lr.pkl,0.895681581685744,0.8669438669438669,0.8674463937621832,0.8258317025440313,0.9324253535882661,0.9154013015184381,0.8987629386518555,0.8683127572016461,"{'logisticregression__C': 0.01, 'logisticregression__penalty': 'l2', 'pca__n_components': 5}"
Random-Forest senate seats,models-currcand/senate-rf.pkl,0.9821882951653944,0.8787878787878788,0.952054794520548,0.875,1.0,0.7777777777777778,0.9754385964912281,0.823529411764706,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'n_estimators': 100}"
Random-Forest house seats,models-currcand/house-rf.pkl,0.9516717325227964,0.9319562575941677,0.9330686330119116,0.9049773755656109,0.9756820877817319,0.966183574879227,0.953899681066976,0.9345794392523363,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'n_estimators': 200}"
Random-Forest presidential seats,models-currcand/presidential-rf.pkl,1.0,0.8837209302325582,1.0,0.8095238095238095,1.0,0.9444444444444444,1.0,0.8717948717948718,"{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 100}"
Random-Forest all seats,models-currcand/all-rf.pkl,0.946149843912591,0.9147609147609148,0.9221230158730159,0.8812877263581489,0.9738082765845992,0.9501084598698482,0.9472611464968154,0.9144050104384134,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 100}"
Gradient-Boosting senate seats,models-currcand/senate-gbc.pkl,1.0,0.9090909090909091,1.0,0.8648648648648649,1.0,0.8888888888888888,1.0,0.8767123287671232,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 100}"
Gradient-Boosting house seats,models-currcand/house-gbc.pkl,1.0,0.9416767922235723,1.0,0.933649289099526,1.0,0.9516908212560387,1.0,0.9425837320574163,"{'criterion': 'friedman_mse', 'max_depth': 8, 'max_features': 'auto', 'n_estimators': 100}"
Gradient-Boosting presidential seats,models-currcand/presidential-gbc.pkl,1.0,0.8837209302325582,1.0,0.8823529411764706,1.0,0.8333333333333334,1.0,0.8571428571428571,"{'criterion': 'mse', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 100}"
Gradient-Boosting all seats,models-currcand/all-gbc.pkl,1.0,0.9282744282744283,1.0,0.9100418410041841,1.0,0.9436008676789588,1.0,0.926517571884984,"{'criterion': 'friedman_mse', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 200}"
Stacking senate seats,models-currcand/senate-stacking.pkl,0.9796437659033079,0.8787878787878788,0.9712230215827338,0.875,0.9712230215827338,0.7777777777777778,0.9712230215827338,0.823529411764706,"{'final_estimator__C': 0.1, 'final_estimator__penalty': 'none', 'final_estimator__solver': 'sag'}"
Stacking house seats,models-currcand/house-stacking.pkl,0.9838905775075988,0.9356014580801945,0.9805768098881695,0.9328537170263789,0.9881376037959668,0.9396135265700483,0.9843426883308715,0.9362214199759326,"{'final_estimator__C': 1000, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'sag'}"
Stacking presidential seats,models-currcand/presidential-stacking.pkl,1.0,0.9069767441860465,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,0.8888888888888888,"{'final_estimator__C': 0.1, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'lbfgs'}"
Stacking all seats,models-currcand/all-stacking.pkl,0.9869927159209158,0.9282744282744283,0.9828571428571429,0.9100418410041841,0.9910948140387638,0.9436008676789588,0.9869587897756912,0.926517571884984,"{'final_estimator__C': 0.1, 'final_estimator__penalty': 'l1', 'final_estimator__solver': 'liblinear'}"
