experiment_name,model_name,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,hyperparameters
Logistic Regression senate seats,models-currentcand/senate-tuned-lr.pkl,0.7175572519083969,0.6767676767676768,0.6129032258064516,0.5769230769230769,0.5467625899280576,0.4166666666666667,0.5779467680608366,0.48387096774193544,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1'}"
Logistic Regression house seats,models-currentcand/house-tuned-lr.pkl,0.6808510638297872,0.675577156743621,0.7380239520958084,0.7333333333333333,0.5848161328588375,0.5579710144927537,0.6525479814692257,0.6337448559670783,"{'C': 0.01, 'class_weight': None, 'penalty': 'l1'}"
Logistic Regression presidential seats,models-currentcand/presidential-tuned-lr.pkl,0.5235294117647059,0.5813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l1'}"
Logistic Regression all seats,models-currentcand/all-tuned-lr.pkl,0.5270551508844953,0.5145530145530145,0.5138339920948617,0.4964200477326969,0.8852802514405448,0.9023861171366594,0.6502500961908426,0.640492686682063,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l1'}"
PCA + LR senate seats,models-currentcand/senate-pca-lr.pkl,0.6946564885496184,0.6767676767676768,0.6461538461538462,0.6666666666666666,0.302158273381295,0.2222222222222222,0.411764705882353,0.3333333333333333,"{'logisticregression__C': 10, 'logisticregression__penalty': 'l2', 'pca__n_components': 2}"
PCA + LR house seats,models-currentcand/house-pca-lr.pkl,0.7224924012158055,0.724179829890644,0.7482337829158638,0.7454068241469817,0.6909845788849348,0.6859903381642513,0.7184705519580636,0.7144654088050315,"{'logisticregression__C': 0.001, 'logisticregression__penalty': 'l2', 'pca__n_components': 2}"
PCA + LR presidential seats,models-currentcand/presidential-pca-lr.pkl,0.5235294117647059,0.5813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,"{'logisticregression__C': 0.001, 'logisticregression__penalty': 'l2', 'pca__n_components': 2}"
PCA + LR all seats,models-currentcand/all-pca-lr.pkl,0.5270551508844953,0.5145530145530145,0.5138339920948617,0.4964114832535885,0.8852802514405448,0.9002169197396963,0.6502500961908426,0.6399383191981497,"{'logisticregression__C': 1, 'logisticregression__penalty': 'l2', 'pca__n_components': 3}"
Random-Forest senate seats,models-currentcand/senate-rf.pkl,0.8295165394402035,0.7777777777777778,0.6978021978021978,0.7058823529411765,0.9136690647482014,0.6666666666666666,0.7912772585669783,0.6857142857142857,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 100}"
Random-Forest house seats,models-currentcand/house-rf.pkl,0.8009118541033434,0.8019441069258809,0.7394333488156062,0.7311233885819521,0.9442467378410438,0.9589371980676329,0.8293826517322219,0.8296760710553814,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 100}"
Random-Forest presidential seats,models-currentcand/presidential-rf.pkl,0.8117647058823529,0.7209302325581395,0.7247706422018348,0.6071428571428571,0.9753086419753086,0.9444444444444444,0.8315789473684211,0.7391304347826088,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}"
Random-Forest all seats,models-currentcand/all-rf.pkl,0.8002081165452654,0.7588357588357588,0.7273814268632921,0.6764252696456087,0.9559979046621268,0.9522776572668112,0.8261656858306926,0.790990990990991,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 100}"
Gradient-Boosting senate seats,models-currentcand/senate-gbc.pkl,0.9236641221374046,0.7676767676767676,0.8471337579617835,0.7407407407407407,0.9568345323741008,0.5555555555555556,0.8986486486486487,0.634920634920635,"{'criterion': 'friedman_mse', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}"
