experiment_name,model_name,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,hyperparameters
Logistic Regression senate seats,models-currentcand/senate-tuned-lr.pkl,0.8854961832061069,0.8383838383838383,0.7865853658536586,0.7631578947368421,0.9280575539568345,0.8055555555555556,0.8514851485148515,0.7837837837837838,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1'}"
Logistic Regression house seats,models-currentcand/house-tuned-lr.pkl,0.9069908814589666,0.9198055893074119,0.9039812646370023,0.9065420560747663,0.9157769869513642,0.9371980676328503,0.9098408956982911,0.9216152019002376,"{'C': 0.1, 'class_weight': None, 'penalty': 'l1'}"
Logistic Regression presidential seats,models-currentcand/presidential-tuned-lr.pkl,0.9470588235294117,0.8837209302325582,0.9390243902439024,0.8823529411764706,0.9506172839506173,0.8333333333333334,0.9447852760736196,0.8571428571428571,"{'C': 1, 'class_weight': None, 'penalty': 'l1'}"
Logistic Regression all seats,models-currentcand/all-tuned-lr.pkl,0.9076482830385015,0.8835758835758836,0.8976458546571137,0.8673684210526316,0.9188056574122577,0.8937093275488069,0.908102511001812,0.8803418803418804,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1'}"
PCA + LR senate seats,models-currentcand/senate-pca-lr.pkl,0.8982188295165394,0.8181818181818182,0.8613138686131386,0.78125,0.8489208633093526,0.6944444444444444,0.8550724637681159,0.7352941176470588,"{'logisticregression__C': 0.01, 'logisticregression__penalty': 'l2', 'pca__n_components': 60}"
PCA + LR house seats,models-currentcand/house-pca-lr.pkl,0.8990881458966565,0.9027946537059538,0.8868571428571429,0.8883720930232558,0.9205219454329775,0.9227053140096618,0.9033760186263097,0.9052132701421801,"{'logisticregression__C': 1000, 'logisticregression__penalty': 'l2', 'pca__n_components': 20}"
PCA + LR presidential seats,models-currentcand/presidential-pca-lr.pkl,0.8764705882352941,0.9069767441860465,0.8333333333333334,0.8181818181818182,0.9259259259259259,1.0,0.8771929824561403,0.9,"{'logisticregression__C': 0.01, 'logisticregression__penalty': 'l2', 'pca__n_components': 6}"
PCA + LR all seats,models-currentcand/all-pca-lr.pkl,0.895681581685744,0.8669438669438669,0.8674463937621832,0.8258317025440313,0.9324253535882661,0.9154013015184381,0.8987629386518555,0.8683127572016461,"{'logisticregression__C': 0.01, 'logisticregression__penalty': 'l2', 'pca__n_components': 5}"
Random-Forest senate seats,models-currentcand/senate-rf.pkl,0.9541984732824428,0.8484848484848485,0.9115646258503401,0.8181818181818182,0.9640287769784173,0.75,0.9370629370629371,0.7826086956521738,"{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 200}"
Random-Forest house seats,models-currentcand/house-rf.pkl,0.9492401215805472,0.9392466585662211,0.9288537549407114,0.9117647058823529,0.9756820877817319,0.9734299516908212,0.9516922186867225,0.941588785046729,"{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 100}"
Random-Forest presidential seats,models-currentcand/presidential-rf.pkl,0.9941176470588236,0.9069767441860465,0.9878048780487805,0.85,1.0,0.9444444444444444,0.9938650306748467,0.8947368421052632,"{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 100}"
Random-Forest all seats,models-currentcand/all-rf.pkl,0.9505723204994797,0.918918918918919,0.9286783042394015,0.8853118712273642,0.9753797799895233,0.9544468546637744,0.9514563106796116,0.9185803757828811,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'n_estimators': 200}"
Gradient-Boosting senate seats,models-currentcand/senate-gbc.pkl,1.0,0.9191919191919192,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,0.8888888888888888,"{'criterion': 'friedman_mse', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200}"
Gradient-Boosting house seats,models-currentcand/house-gbc.pkl,1.0,0.945321992709599,1.0,0.9361702127659575,1.0,0.9565217391304348,1.0,0.9462365591397849,"{'criterion': 'mse', 'max_depth': 8, 'max_features': 'auto', 'n_estimators': 200}"
Gradient-Boosting presidential seats,models-currentcand/presidential-gbc.pkl,1.0,0.8837209302325582,1.0,0.8095238095238095,1.0,0.9444444444444444,1.0,0.8717948717948718,"{'criterion': 'friedman_mse', 'max_depth': 7, 'max_features': 'auto', 'n_estimators': 100}"
Gradient-Boosting all seats,models-currentcand/all-gbc.pkl,1.0,0.9272349272349273,1.0,0.9047619047619048,1.0,0.9479392624728851,1.0,0.9258474576271187,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 200}"
Stacking senate seats,models-currentcand/senate-stacking.pkl,0.9541984732824428,0.8686868686868687,0.9230769230769231,0.8484848484848485,0.9496402877697842,0.7777777777777778,0.9361702127659574,0.8115942028985507,"{'final_estimator__C': 1, 'final_estimator__penalty': 'none', 'final_estimator__solver': 'lbfgs'}"
Stacking house seats,models-currentcand/house-stacking.pkl,0.982370820668693,0.9416767922235723,0.9776995305164319,0.9295774647887324,0.9881376037959668,0.9565217391304348,0.9828908554572272,0.9428571428571428,"{'final_estimator__C': 100, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'liblinear'}"
Stacking presidential seats,models-currentcand/presidential-stacking.pkl,1.0,0.8837209302325582,1.0,0.8095238095238095,1.0,0.9444444444444444,1.0,0.8717948717948718,"{'final_estimator__C': 0.1, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'lbfgs'}"
Stacking all seats,models-currentcand/all-stacking.pkl,0.9880332986472424,0.9251559251559252,0.9838961038961039,0.906054279749478,0.9921424829753798,0.9414316702819957,0.9880020865936359,0.9234042553191489,"{'final_estimator__C': 100, 'final_estimator__penalty': 'l1', 'final_estimator__solver': 'liblinear'}"
