experiment_name,model_name,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,hyperparameters
Logistic Regression senate seats,models/senate-tuned-lr.pkl,0.9506578947368421,0.9170305676855895,0.8549618320610687,0.7368421052631579,0.8115942028985508,0.7567567567567568,0.83271375464684,0.7466666666666667,"{'C': 0.1, 'class_weight': None, 'penalty': 'l1'}"
Logistic Regression house seats,models/house-tuned-lr.pkl,0.9479813664596274,0.9527950310559006,0.9127031908488862,0.9400544959128065,0.8886283704572099,0.8646616541353384,0.9005049005049004,0.9007832898172323,"{'C': 0.01, 'class_weight': None, 'penalty': 'l1'}"
Logistic Regression presidential seats,models/presidential-tuned-lr.pkl,0.9450867052023122,0.896551724137931,0.9411764705882353,0.7391304347826086,0.810126582278481,0.85,0.8707482993197279,0.7906976744186046,"{'C': 0.1, 'class_weight': None, 'penalty': 'l1'}"
Logistic Regression all seats,models/all-tuned-lr.pkl,0.9425257396064121,0.9447628973423658,0.8807291666666667,0.8828451882845189,0.8885969521807672,0.8940677966101694,0.8846455663091812,0.8884210526315789,"{'C': 0.1, 'class_weight': None, 'penalty': 'l1'}"
PCA + LR senate seats,models/senate-pca-lr.pkl,0.9473684210526315,0.9170305676855895,0.8308823529411765,0.7368421052631579,0.8188405797101449,0.7567567567567568,0.8248175182481752,0.7466666666666667,"{'logisticregression__C': 100, 'logisticregression__penalty': 'l2', 'pca__n_components': 10}"
PCA + LR house seats,models/house-pca-lr.pkl,0.9386645962732919,0.9453416149068323,0.8822157434402332,0.8976982097186701,0.8868698710433763,0.8796992481203008,0.884536685179772,0.8886075949367089,"{'logisticregression__C': 10, 'logisticregression__penalty': 'l2', 'pca__n_components': 60}"
PCA + LR presidential seats,models/presidential-pca-lr.pkl,0.9508670520231214,0.896551724137931,0.9305555555555556,0.7619047619047619,0.8481012658227848,0.8,0.8874172185430463,0.7804878048780488,"{'logisticregression__C': 0.1, 'logisticregression__penalty': 'l2', 'pca__n_components': 30}"
PCA + LR all seats,models/all-pca-lr.pkl,0.9345757852209045,0.9353830119854091,0.858312020460358,0.8536585365853658,0.8817656332107199,0.8898305084745762,0.8698807672369102,0.871369294605809,"{'logisticregression__C': 1000, 'logisticregression__penalty': 'l2', 'pca__n_components': 5}"
Random-Forest senate seats,models/senate-rf.pkl,0.9912280701754386,0.925764192139738,0.9642857142857143,0.7631578947368421,0.9782608695652174,0.7837837837837838,0.9712230215827338,0.7733333333333334,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 100}"
Random-Forest house seats,models/house-rf.pkl,0.9656832298136646,0.9608695652173913,0.9225953329538987,0.9285714285714286,0.9501758499413834,0.9122807017543859,0.9361825007219174,0.9203539823008849,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'n_estimators': 200}"
Random-Forest presidential seats,models/presidential-rf.pkl,0.9797687861271677,0.9195402298850575,0.9736842105263158,0.8421052631578947,0.9367088607594937,0.8,0.9548387096774194,0.8205128205128205,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 200}"
Random-Forest all seats,models/all-rf.pkl,0.965072331552196,0.9463262115685253,0.9237947122861586,0.8773006134969326,0.9364161849710982,0.9088983050847458,0.9300626304801669,0.8928199791883454,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'auto', 'n_estimators': 200}"
Gradient-Boosting senate seats,models/senate-gbc.pkl,0.9978070175438597,0.9344978165938864,0.9927536231884058,0.7894736842105263,0.9927536231884058,0.8108108108108109,0.9927536231884058,0.8,"{'criterion': 'mse', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 100}"
Gradient-Boosting house seats,models/house-gbc.pkl,0.9984472049689441,0.9614906832298137,0.9964871194379391,0.9201995012468828,0.9976553341148886,0.924812030075188,0.9970708845928529,0.9225,"{'criterion': 'friedman_mse', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 200}"
Gradient-Boosting presidential seats,models/presidential-gbc.pkl,1.0,0.9425287356321839,1.0,0.8571428571428571,1.0,0.9,1.0,0.8780487804878048,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 200}"
Gradient-Boosting all seats,models/all-gbc.pkl,0.9998696728789261,0.9525794684731631,1.0,0.8848484848484849,0.999474513925381,0.9279661016949152,0.9997371879106438,0.905894519131334,"{'criterion': 'mse', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 200}"
Stacking senate seats,models/senate-stacking.pkl,0.9736842105263158,0.9388646288209607,0.9318181818181818,0.8285714285714286,0.8913043478260869,0.7837837837837838,0.9111111111111111,0.8055555555555555,"{'final_estimator__C': 10, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'lbfgs'}"
Stacking house seats,models/house-stacking.pkl,0.9807453416149068,0.9633540372670808,0.9658421672555948,0.9381443298969072,0.9613130128956624,0.9122807017543859,0.963572267920094,0.9250317662007623,"{'final_estimator__C': 1, 'final_estimator__penalty': 'l2', 'final_estimator__solver': 'saga'}"
Stacking presidential seats,models/presidential-stacking.pkl,0.9797687861271677,0.9310344827586207,0.9864864864864865,0.85,0.9240506329113924,0.85,0.954248366013072,0.85,"{'final_estimator__C': 0.1, 'final_estimator__penalty': 'none', 'final_estimator__solver': 'lbfgs'}"
Stacking all seats,models/all-stacking.pkl,0.9857943438029454,0.95205836373111,0.970125786163522,0.889344262295082,0.9726747241198108,0.9194915254237288,0.9713985830490686,0.9041666666666667,"{'final_estimator__C': 0.1, 'final_estimator__penalty': 'none', 'final_estimator__solver': 'sag'}"
